Q_LBS, eps, pathLength, niters, approxDist, origDist, truePath, time
Q6_LBS0, 0.3, 6, 5, 3.1123439807919695, 3.9507698562870317, 64 54 64 63 53 63, 0:00:03.844951
Q6_LBS1, 0.3, 6, 5, 3.381854430932013, 3.352336715057432, 64 54 64 63 53 63, 0:00:03.390612
Q6_LBS2, 0.3, 6, 5, 2.9640556121010126, 2.9640556121010126, 64 54 64 63 53 63, 0:00:04.254817
Q6_LBS0, 0.4, 6, 5, 1.5938109865029322, 2.390493927467588, 64 54 64 63 53 63, 0:00:04.083646
Q6_LBS1, 0.4, 6, 5, 3.5220359980699767, 3.509725435508211, 64 54 64 63 53 63, 0:00:02.921108
Q6_LBS2, 0.4, 6, 5, 3.114142965221964, 3.0569257309632096, 64 54 64 63 53 63, 0:00:06.964689
Q6_LBS0, 0.5, 6, 5, 1.2752660136327973, 1.6160969501859968, 64 54 64 63 53 63, 0:00:04.650701
Q6_LBS1, 0.5, 6, 5, 1.612899020449196, 1.612899020449196, 64 54 64 63 53 63, 0:00:02.149271
Q6_LBS2, 0.5, 6, 5, 2.282679158813481, 2.282679158813481, 64 54 64 63 53 63, 0:00:03.973887
Q6_LBS0, 0.6, 6, 5, 0.9572875615424142, 1.2804305652641468, 64 54 64 63 53 63, 0:00:04.950344
Q6_LBS1, 0.6, 6, 5, 0.682842712474619, 0.682842712474619, 64 54 64 63 53 63, 0:00:01.832021
Q6_LBS2, 0.6, 6, 5, 1.2161760458079525, 1.2161760458079525, 64 54 64 63 53 63, 0:00:03.339309
Q6_LBS0, 0.8, 6, 5, 0.7023689270621825, 1.2591325900232162, 64 54 64 63 53 63, 0:00:04.830265
Q6_LBS1, 0.8, 6, 5, 0.482842712474619, 0.482842712474619, 64 54 64 63 53 63, 0:00:01.884909
Q6_LBS2, 0.8, 6, 5, 1.1714562409999174, 1.1714562409999174, 64 54 64 63 53 63, 0:00:05.477148
Q6_LBS0, 1, 6, 5, 0.27475468957064286, 0.8739688218235069, 64 54 64 63 53 63, 0:00:04.166674
Q6_LBS1, 1, 6, 5, 1.202622130830375, 1.1793534422049137, 64 54 64 63 53 63, 0:00:02.373828
Q6_LBS2, 1, 6, 5, 0.482842712474619, 0.482842712474619, 64 54 64 63 53 63, 0:00:02.155435
Q7_LBS0, 0.3, 6, 5, 3.01525357234478, 3.6189266995109377, 53 52 51 41 42 52, 0:00:03.796007
Q7_LBS1, 0.3, 6, 5, 2.980509354557627, 3.021936548056626, 53 52 51 41 42 52, 0:00:05.980238
Q7_LBS2, 0.3, 6, 5, 2.3574471462142554, 2.5260445593018046, 53 52 51 41 42 52, 0:00:06.416169
